entity,added,deleted,commits
vendor/golang.org/x/sys/unix/syscall_solaris.go,1181,668,69
test/integration/scheduler_perf/util.go,480,183,69
pkg/controller/volume/persistentvolume/pv_controller.go,595,422,69
build/root/Makefile,130,134,69
vendor/golang.org/x/net/http2/transport.go,2880,1215,69
staging/src/k8s.io/apiserver/pkg/storage/etcd3/watcher_test.go,610,591,69
api/openapi-spec/v3/apis__networking.k8s.io__v1alpha1_openapi.json,8048,8048,69
api/openapi-spec/v3/apis__rbac.authorization.k8s.io__v1_openapi.json,1831,479,68
pkg/controller/statefulset/stateful_set_control.go,1634,1174,68
vendor/golang.org/x/sys/unix/zsyscall_openbsd_386.go,3186,744,68
vendor/golang.org/x/sys/unix/zsyscall_openbsd_amd64.go,3180,740,68
vendor/golang.org/x/sys/unix/zsyscall_openbsd_arm.go,3186,744,68
vendor/golang.org/x/sys/unix/zsyscall_openbsd_arm64.go,3186,744,68
staging/src/k8s.io/client-go/informers/generic.go,163,66,67
test/integration/apiserver/apiserver_test.go,2025,492,67
pkg/scheduler/framework/plugins/nodevolumelimits/csi.go,389,96,67
test/e2e/framework/util.go,351,959,67
vendor/golang.org/x/net/http2/server.go,2067,1006,67
pkg/kubelet/cm/devicemanager/manager_test.go,1409,389,67
vendor/golang.org/x/sys/unix/zsyscall_openbsd_ppc64.go,9412,198,67
vendor/golang.org/x/sys/unix/zsyscall_openbsd_riscv64.go,9412,198,67
staging/src/k8s.io/apiserver/pkg/storage/value/encrypt/envelope/kmsv2/envelope.go,831,294,67
pkg/kubelet/container/runtime.go,229,102,66
pkg/kubelet/kuberuntime/kuberuntime_container_linux.go,555,227,66
pkg/registry/core/pod/strategy_test.go,3545,1411,66
staging/src/k8s.io/client-go/tools/cache/reflector.go,984,455,66
staging/src/k8s.io/apiserver/pkg/storage/value/encrypt/envelope/kmsv2/envelope_test.go,1786,349,66
api/openapi-spec/v3/apis__scheduling.k8s.io__v1_openapi.json,600,171,65
pkg/controller/daemon/daemon_controller.go,542,361,65
pkg/scheduler/framework/plugins/nodevolumelimits/csi_test.go,814,369,65
pkg/volume/testing/testing.go,318,216,65
pkg/api/pod/warnings.go,598,323,65
pkg/registry/core/pod/strategy.go,577,250,65
vendor/golang.org/x/sys/unix/zerrors_linux_arm64.go,159,14,65
vendor/golang.org/x/sys/unix/zsyscall_solaris_amd64.go,1045,732,65
test/e2e_node/podresources_test.go,787,347,65
pkg/kubelet/volumemanager/reconciler/reconciler_test.go,1926,562,65
api/openapi-spec/v3/apis__coordination.k8s.io__v1_openapi.json,685,180,64
test/e2e_node/eviction_test.go,693,546,64
pkg/apis/networking/validation/validation.go,500,291,64
staging/src/k8s.io/kube-aggregator/pkg/apiserver/apiserver.go,405,222,64
vendor/golang.org/x/sys/unix/zerrors_linux_386.go,146,14,64
vendor/golang.org/x/sys/unix/zerrors_linux_amd64.go,146,14,64
cmd/kube-apiserver/app/testing/testserver.go,557,313,64
pkg/scheduler/metrics/metrics.go,270,96,64
cluster/gce/config-test.sh,80,86,64
test/e2e/storage/testsuites/provisioning.go,755,277,64
staging/src/k8s.io/apiserver/pkg/endpoints/metrics/metrics.go,318,125,64
cmd/kube-apiserver/app/aggregator.go,156,388,63
staging/src/k8s.io/kubectl/pkg/cmd/debug/debug.go,506,285,63
pkg/scheduler/framework/plugins/noderesources/fit.go,440,185,63
vendor/golang.org/x/sys/unix/zerrors_linux_sparc64.go,337,14,63
staging/src/k8s.io/kubectl/pkg/cmd/util/helpers.go,231,53,63
test/e2e/apps/deployment.go,276,246,63
test/e2e/scheduling/predicates.go,588,212,63
vendor/golang.org/x/sys/unix/zsyscall_openbsd_mips64.go,3849,879,63
api/openapi-spec/v3/apis__events.k8s.io__v1_openapi.json,697,184,62
pkg/controlplane/apiserver/config.go,620,204,62
pkg/apis/networking/validation/validation_test.go,1441,855,62
vendor/golang.org/x/sys/unix/zerrors_linux_arm.go,145,14,62
vendor/golang.org/x/sys/unix/zerrors_linux_mips.go,145,14,62
vendor/golang.org/x/sys/unix/zerrors_linux_mips64.go,145,14,62
vendor/golang.org/x/sys/unix/zerrors_linux_mips64le.go,145,14,62
vendor/golang.org/x/sys/unix/zerrors_linux_mipsle.go,145,14,62
vendor/golang.org/x/sys/unix/zerrors_linux_ppc.go,145,14,62
vendor/golang.org/x/sys/unix/zerrors_linux_ppc64.go,145,14,62
vendor/golang.org/x/sys/unix/zerrors_linux_ppc64le.go,145,14,62
vendor/golang.org/x/sys/unix/zerrors_linux_riscv64.go,157,14,62
vendor/golang.org/x/sys/unix/zerrors_linux_s390x.go,145,14,62
test/e2e/storage/persistent_volumes-local.go,281,325,62
staging/src/k8s.io/apiserver/pkg/server/options/etcd.go,413,230,62
staging/src/k8s.io/cloud-provider/controllers/node/node_controller.go,288,233,62
cmd/kube-apiserver/app/options/options_test.go,309,275,61
cluster/gce/addons/konnectivity-agent/konnectivity-agent-ds.yaml,31,30,61
cluster/gce/manifests/konnectivity-server.yaml,30,30,61
staging/src/k8s.io/client-go/rest/request_test.go,2471,1225,61
pkg/volume/util/operationexecutor/operation_executor.go,318,319,61
vendor/golang.org/x/sys/unix/syscall_openbsd.go,170,439,61
test/integration/daemonset/daemonset_test.go,1566,335,61
api/openapi-spec/v3/apis__storage.k8s.io__v1beta1_openapi.json,3029,2971,60
cmd/kube-proxy/app/server_windows.go,209,296,60
pkg/controller/endpoint/endpoints_controller.go,313,295,60
vendor/golang.org/x/sys/unix/zerrors_linux_loong64.go,2574,8,60
staging/src/k8s.io/apiserver/pkg/util/flowcontrol/apf_controller.go,742,418,60
test/e2e/auth/service_accounts.go,221,264,60
CHANGELOG/CHANGELOG-1.22.md,5592,37750,60
pkg/apis/resource/validation/validation.go,2019,803,59
pkg/kubelet/cm/cpumanager/policy_static.go,482,228,59
pkg/scheduler/eventhandlers_test.go,517,396,59
test/integration/scheduler/preemption/preemption_test.go,4736,609,59
pkg/kubeapiserver/default_storage_factory_builder.go,77,58,59
pkg/kubelet/cm/dra/manager_test.go,2583,1450,59
pkg/apis/apps/validation/validation_test.go,2849,2672,59
test/e2e/common/node/pods.go,329,264,59
cmd/kubeadm/app/util/config/common.go,358,110,59
cmd/kubeadm/app/apis/kubeadm/types.go,384,68,59
staging/src/k8s.io/sample-apiserver/artifacts/example/deployment.yaml,38,38,59
vendor/golang.org/x/sys/windows/types_windows.go,1839,95,59
staging/src/k8s.io/api/testdata/HEAD/core.v1.Pod.json,1205,849,58
staging/src/k8s.io/api/testdata/HEAD/core.v1.Pod.pb,0,0,58
staging/src/k8s.io/api/testdata/HEAD/core.v1.Pod.yaml,1023,791,58
CHANGELOG/CHANGELOG-1.30.md,6887,6484,58
CHANGELOG/CHANGELOG-1.29.md,9066,11239,58
test/integration/controlplane/transformation/kms_transformation_test.go,1852,593,58
vendor/golang.org/x/sys/unix/zsyscall_netbsd_386.go,143,176,58
vendor/golang.org/x/sys/unix/zsyscall_netbsd_amd64.go,143,176,58
vendor/golang.org/x/sys/unix/zsyscall_netbsd_arm.go,143,176,58
vendor/golang.org/x/sys/unix/zsyscall_netbsd_arm64.go,143,176,58
api/openapi-spec/v3/apis__flowcontrol.apiserver.k8s.io__v1beta2_openapi.json,918,5011,58
staging/src/k8s.io/api/testdata/HEAD/batch.v1.CronJob.json,1030,780,57
staging/src/k8s.io/api/testdata/HEAD/batch.v1.CronJob.pb,0,0,57
staging/src/k8s.io/api/testdata/HEAD/batch.v1.CronJob.yaml,925,753,57
staging/src/k8s.io/api/testdata/HEAD/batch.v1beta1.CronJob.json,1030,780,57
staging/src/k8s.io/api/testdata/HEAD/batch.v1beta1.CronJob.pb,0,0,57
staging/src/k8s.io/api/testdata/HEAD/batch.v1beta1.CronJob.yaml,925,753,57
pkg/kubelet/stats/cadvisor_stats_provider_test.go,645,218,57
staging/src/k8s.io/apiserver/pkg/util/flowcontrol/request/list_work_estimator.go,267,182,57
test/e2e/storage/volume_metrics.go,250,209,57
test/e2e_node/node_shutdown_linux_test.go,556,276,57
pkg/scheduler/extender_test.go,426,241,57
test/e2e_node/e2e_node_suite_test.go,153,85,57
test/e2e/storage/volume_provisioning.go,1036,1300,57
cluster/gce/manifests/etcd.manifest,69,69,57
vendor/golang.org/x/sys/unix/syscall_zos_s390x.go,2198,322,57
vendor/golang.org/x/sys/unix/zsyscall_freebsd_386.go,157,562,57
vendor/golang.org/x/sys/unix/zsyscall_freebsd_amd64.go,154,559,57
vendor/golang.org/x/sys/unix/zsyscall_freebsd_arm.go,205,610,57
vendor/golang.org/x/sys/unix/zsyscall_freebsd_arm64.go,154,559,57
pkg/kubelet/apis/config/validation/validation_test.go,1100,824,56
pkg/kubeapiserver/options/authentication.go,536,154,56
pkg/api/pod/warnings_test.go,2212,656,56
pkg/kubelet/server/server_test.go,805,227,56
staging/src/k8s.io/apiserver/pkg/storage/storagebackend/factory/etcd3.go,578,146,56
pkg/volume/util/util.go,232,335,56
cmd/kubeadm/app/cmd/upgrade/common.go,309,334,56
pkg/kubelet/volumemanager/reconciler/reconciler.go,1020,1411,56
vendor/golang.org/x/sys/unix/zsyscall_freebsd_riscv64.go,5797,154,56
staging/src/k8s.io/api/testdata/HEAD/batch.v1.Job.json,997,755,55
staging/src/k8s.io/api/testdata/HEAD/batch.v1.Job.pb,0,0,55
staging/src/k8s.io/api/testdata/HEAD/batch.v1.Job.yaml,894,728,55
pkg/apis/core/v1/defaults_test.go,2051,619,55
pkg/scheduler/framework/plugins/noderesources/fit_test.go,1184,214,55
pkg/kubelet/kuberuntime/kuberuntime_container_test.go,681,178,55
pkg/controller/nodelifecycle/node_lifecycle_controller.go,343,561,55
staging/src/k8s.io/apiserver/pkg/server/filters/priority-and-fairness_test.go,699,412,55
pkg/volume/csi/csi_mounter.go,296,95,55
test/integration/controlplane/transformation/kmsv2_transformation_test.go,1996,483,55
vendor/golang.org/x/sys/unix/mkerrors.sh,232,114,55
test/e2e/windows/security_context.go,424,77,54
cluster/gce/upgrade-aliases.sh,70,70,54
cmd/kube-proxy/app/server_test.go,1128,1103,54
vendor/golang.org/x/sys/unix/ztypes_linux_riscv64.go,315,26,54
pkg/controller/volume/attachdetach/reconciler/reconciler_test.go,1202,338,54
staging/src/k8s.io/apiserver/pkg/admission/plugin/validatingadmissionpolicy/controller_reconcile.go,800,794,54
pkg/apis/resource/validation/validation_resourceclaim_test.go,2372,656,53
test/compatibility_lifecycle/reference/versioned_feature_list.yaml,1767,36,53
test/integration/examples/apiserver_test.go,1785,426,53
hack/golangci.yaml.in,302,32,53
staging/src/k8s.io/apiserver/pkg/cel/environment/base.go,404,89,53
vendor/golang.org/x/sys/unix/syscall_freebsd_386.go,65,72,53
vendor/golang.org/x/sys/unix/syscall_freebsd_amd64.go,65,72,53
vendor/golang.org/x/sys/unix/syscall_freebsd_arm.go,58,65,53
vendor/golang.org/x/sys/unix/syscall_freebsd_arm64.go,58,65,53
vendor/golang.org/x/sys/unix/syscall_freebsd_riscv64.go,242,60,53
vendor/golang.org/x/sys/unix/zsyscall_dragonfly_amd64.go,90,154,53
pkg/apis/resource/types.go,2382,740,52
staging/src/k8s.io/api/resource/v1alpha3/types.go,2345,677,52
test/e2e/node/pod_resize.go,2478,2025,52
pkg/kubelet/stats/cadvisor_stats_provider.go,289,128,52
pkg/kubelet/images/image_manager.go,389,185,52
pkg/apis/batch/types.go,434,119,52
staging/src/k8s.io/apiserver/pkg/registry/generic/registry/store.go,357,106,52
vendor/golang.org/x/sys/unix/syscall_aix.go,294,191,52
vendor/golang.org/x/sys/unix/zsyscall_darwin_amd64.go,861,546,52
vendor/golang.org/x/sys/unix/zsyscall_darwin_arm64.go,861,546,52
pkg/controller/cronjob/utils_test.go,1449,507,52
test/e2e_node/cpu_manager_test.go,1064,355,51
staging/src/k8s.io/api/testdata/HEAD/apps.v1.StatefulSet.json,1048,823,51
staging/src/k8s.io/api/testdata/HEAD/apps.v1.StatefulSet.pb,0,0,51
