entity,age-months
staging/src/k8s.io/client-go/applyconfigurations/utils.go,0
staging/src/k8s.io/client-go/informers/generic.go,0
staging/src/k8s.io/client-go/informers/resource/interface.go,0
staging/src/k8s.io/client-go/informers/resource/v1beta2/deviceclass.go,0
staging/src/k8s.io/client-go/informers/resource/v1beta2/interface.go,0
staging/src/k8s.io/client-go/informers/resource/v1beta2/resourceclaim.go,0
staging/src/k8s.io/client-go/informers/resource/v1beta2/resourceclaimtemplate.go,0
staging/src/k8s.io/client-go/informers/resource/v1beta2/resourceslice.go,0
staging/src/k8s.io/client-go/kubernetes/clientset.go,0
staging/src/k8s.io/client-go/kubernetes/fake/clientset_generated.go,0
staging/src/k8s.io/client-go/kubernetes/fake/register.go,0
staging/src/k8s.io/client-go/kubernetes/scheme/register.go,0
staging/src/k8s.io/client-go/kubernetes/typed/resource/v1beta2/deviceclass.go,0
staging/src/k8s.io/client-go/kubernetes/typed/resource/v1beta2/doc.go,0
staging/src/k8s.io/client-go/kubernetes/typed/resource/v1beta2/fake/doc.go,0
staging/src/k8s.io/client-go/kubernetes/typed/resource/v1beta2/fake/fake_deviceclass.go,0
staging/src/k8s.io/client-go/kubernetes/typed/resource/v1beta2/fake/fake_resource_client.go,0
staging/src/k8s.io/client-go/kubernetes/typed/resource/v1beta2/fake/fake_resourceclaim.go,0
staging/src/k8s.io/client-go/kubernetes/typed/resource/v1beta2/fake/fake_resourceclaimtemplate.go,0
staging/src/k8s.io/client-go/kubernetes/typed/resource/v1beta2/fake/fake_resourceslice.go,0
staging/src/k8s.io/client-go/kubernetes/typed/resource/v1beta2/generated_expansion.go,0
staging/src/k8s.io/client-go/kubernetes/typed/resource/v1beta2/resource_client.go,0
staging/src/k8s.io/client-go/kubernetes/typed/resource/v1beta2/resourceclaim.go,0
staging/src/k8s.io/client-go/kubernetes/typed/resource/v1beta2/resourceclaimtemplate.go,0
staging/src/k8s.io/client-go/kubernetes/typed/resource/v1beta2/resourceslice.go,0
staging/src/k8s.io/client-go/listers/resource/v1beta2/deviceclass.go,0
staging/src/k8s.io/client-go/listers/resource/v1beta2/expansion_generated.go,0
staging/src/k8s.io/client-go/listers/resource/v1beta2/resourceclaim.go,0
staging/src/k8s.io/client-go/listers/resource/v1beta2/resourceclaimtemplate.go,0
staging/src/k8s.io/client-go/listers/resource/v1beta2/resourceslice.go,0
staging/src/k8s.io/dynamic-resource-allocation/api/zz_generated.conversion.go,0
api/api-rules/violation_exceptions.list,0
cmd/kube-apiserver/app/aggregator.go,0
hack/lib/init.sh,0
pkg/api/testing/defaulting_test.go,0
pkg/apis/resource/fuzzer/fuzzer.go,0
pkg/apis/resource/install/install.go,0
pkg/apis/resource/types.go,0
pkg/apis/resource/v1alpha3/conversion.go,0
pkg/apis/resource/v1beta1/conversion.go,0
pkg/apis/resource/v1beta1/conversion_test.go,0
pkg/apis/resource/v1beta2/conversion.go,0
pkg/apis/resource/v1beta2/defaults.go,0
pkg/apis/resource/v1beta2/defaults_test.go,0
pkg/apis/resource/v1beta2/doc.go,0
pkg/apis/resource/v1beta2/register.go,0
pkg/apis/resource/validation/validation.go,0
pkg/apis/resource/validation/validation_resourceclaim_test.go,0
pkg/apis/resource/validation/validation_resourceclaimtemplate_test.go,0
pkg/apis/resource/validation/validation_resourceslice_test.go,0
pkg/controlplane/instance.go,0
pkg/printers/internalversion/printers.go,0
pkg/printers/internalversion/printers_test.go,0
pkg/quota/v1/evaluator/core/resource_claims_test.go,0
pkg/registry/resource/resourceclaim/strategy.go,0
pkg/registry/resource/resourceclaim/strategy_test.go,0
pkg/registry/resource/resourceclaimtemplate/strategy.go,0
pkg/registry/resource/resourceclaimtemplate/strategy_test.go,0
pkg/registry/resource/resourceslice/storage/storage_test.go,0
pkg/registry/resource/resourceslice/strategy.go,0
pkg/registry/resource/resourceslice/strategy_test.go,0
pkg/registry/resource/rest/storage_resource.go,0
pkg/registry/resource/utils.go,0
plugin/pkg/admission/noderestriction/admission.go,0
plugin/pkg/admission/noderestriction/admission_test.go,0
staging/src/k8s.io/api/resource/v1alpha3/types.go,0
staging/src/k8s.io/api/resource/v1beta1/types.go,0
staging/src/k8s.io/api/resource/v1beta2/devicetaint.go,0
staging/src/k8s.io/api/resource/v1beta2/doc.go,0
staging/src/k8s.io/api/resource/v1beta2/register.go,0
staging/src/k8s.io/api/resource/v1beta2/types.go,0
staging/src/k8s.io/api/roundtrip_test.go,0
staging/src/k8s.io/dynamic-resource-allocation/api/types.go,0
staging/src/k8s.io/dynamic-resource-allocation/structured/allocator.go,0
staging/src/k8s.io/dynamic-resource-allocation/structured/allocator_test.go,0
test/integration/apiserver/apply/reset_fields_test.go,0
test/integration/apiserver/apply/status_test.go,0
test/integration/apiserver/cel/authorizerselector/helper.go,0
test/integration/dra/dra_test.go,0
test/integration/dra/objects.go,0
test/integration/etcd/data.go,0
test/e2e/node/pod_resize.go,0
test/e2e/common/node/security_context.go,0
test/e2e_node/cpu_manager_test.go,0
test/e2e/network/traffic_distribution.go,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1.DaemonSet.json,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1.DaemonSet.pb,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1.DaemonSet.yaml,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1.Deployment.json,0
staging/src/k8s.io/api/testdata/HEAD/apps.v1.Deployment.pb,0
