entity,n-authors,n-revs
src/components/sign-in-history/sign-in-history-routes.ts,3,3
src/components/delete-mfa-method/delete-mfa-method-routes.ts,3,3
redirect.js,3,3
src/utils/test/mfa.test.ts,3,3
src/components/contact-govuk-one-login/txma-service.ts,3,3
test/unit/error-handler.test.ts,3,3
src/utils/encryption/decrypt-data.ts,3,3
src/config/dynamodb.ts,3,3
.github/workflows/check-translations.yml,3,3
manifest.yml,3,3
src/components/common/mfa/tests/index.test.ts,3,3
src/utils/referenceCode.ts,3,3
deploy/image/Dockerfile,3,3
src/components/change-email/change-email-validation.ts,3,3
src/components/delete-account/delete-account-routes.ts,3,3
ci/terraform/static/robots.txt,3,3
src/components/signed-out/tests/signed-out-controller.test.ts,3,3
deploy/image/app.py,3,3
sandpit-vars.yml,3,3
src/components/switch-backup-method/switch-backup-method-controller.ts,3,3
src/utils/global-try-catch.ts,3,3
src/components/security-code-error/security-code-error-controller.ts,3,3
src/utils/test/sqs.test.ts,3,3
src/config/oidc.ts,3,3
src/utils/language-toggle.ts,3,3
test/unit/utils/oidc.ts,3,3
ci/terraform/core.tf,3,3
src/components/enter-password/enter-password-service.ts,3,3
src/components/delete-mfa-method/index.njk,3,3
src/components/webchat-demo/webchat-demo-controller.ts,3,3
nodemon.json,3,3
deploy/image/requirements.txt,3,3
src/utils/present-activity-history.ts,3,3
src/utils/test/decrypt-data.test.ts,3,3
src/components/session-expired/tests/session-expired-controller.test.ts,3,3
test/utils/sqs.test.ts,3,3
ci/terraform/auto-scaling.tf,3,3
test/unit/middleware/form-validation-middleware.ts,3,3
src/middleware/html-lang-middleware.ts,3,3
src/components/webchat-demo/index.njk,3,3
.github/workflows/update-dependabot-nvmrc.yml,3,3
test/utils/helpers.ts,3,3
src/components/common/activity-history/event.njk,3,3
src/components/change-authenticator-app/index.njk,3,3
test/unit/config.test.ts,3,3
src/components/oidc-callback/call-back-routes.ts,3,3
src/components/track-and-redirect/tests/tract-and-redirect-route.test.ts,3,3
src/components/common/gov-uk-publishing/types.ts,3,3
samconfig.toml,2,4
src/utils/isUserLoggedIn.ts,2,4
template.yaml,2,4
.github/workflows/static-code-analysis.yml,2,4
docs/adr/0003-read-data-out-of-account-store-into-app.md,2,3
src/utils/test/isUserLoggedIn.test.ts,2,3
src/config/cookie.ts,2,3
src/utils/ssm.ts,2,3
test/unit/middleware/is-user-logged-in-middleware.test.ts,2,3
src/middleware/is-user-logged-in-middleware.ts,2,3
src/components/healthcheck/healthcheck-controller.ts,2,2
ci/terraform/alerts.tf,2,2
scripts/missing_cy_trns.ts,2,2
src/components/enter-password/types.ts,2,2
src/components/webchat-demo/tests/webchat-demo-controller.test.ts,2,2
.husky/.gitignore,2,2
.prettierrc,2,2
tsconfig.mocha.json,2,2
.mocharc.json,2,2
src/components/user-info/user-info-controller.ts,2,2
src/lambda/error-page-upload/index.ts,2,2
src/utils/tests/sqs.test.ts,2,2
test/utils/behaviours.ts,2,2
test/unit/utils/referenceCode.test.ts,2,2
