entity,numberOfAuthors,numberOfRevisions
src/components/change-password/change-password-routes.ts,4,5
src/components/redirects/tests/redirects-integration.test.ts,4,5
src/components/add-mfa-method/index.njk,3,6
src/components/switch-backup-method/tests/change-default-method-controller.test.ts,3,6
src/components/delete-mfa-method/delete-mfa-method-controller.ts,2,7
src/components/report-suspicious-activity/success.njk,3,6
.eslintrc.js,4,5
src/components/change-default-method/change-default-method-controllers.ts,2,7
src/components/delete-account/tests/delete-account-service.test.ts,4,5
src/utils/prettifyDate.ts,4,5
.pre-commit-config.yaml,2,7
ci/terraform/dns.tf,4,5
ci/terraform/redis.tf,4,5
ci/terraform/ssm.tf,4,5
.github/workflows/ci-only.yml,3,6
.github/workflows/pre-merge-checks.yml,3,6
src/assets/javascript/tests/cookies.test.js,4,4
src/middleware/refresh-token-middleware.ts,4,4
src/utils/decrypt-data.ts,4,4
src/components/healthcheck/tests/healthcheck-integration.test.ts,3,5
src/components/common/confirmation-page/confirmation.njk,3,5
src/services/event-service.test.ts,4,4
src/middleware/mfa-methods-legacy.ts,3,5
src/utils/test/session-store.test.ts,4,4
test/unit/middleware/language-toggle-middleware.test.ts,3,5
src/components/change-email/change-email-service.ts,4,4
src/components/change-password/types.ts,4,4
src/components/change-phone-number/tests/change-phone-number-service.test.ts,4,4
src/components/signed-out/signed-out-controller.ts,4,4
src/components/track-and-redirect/tests/track-and-redirect-controller.test.ts,3,5
src/middleware/check-allowed-services-list.ts,4,4
test/unit/utils/prettifyDate.test.ts,4,4
src/components/change-email/types.ts,4,4
.github/workflows/dev-instance.yml,3,5
.github/workflows/validate-sam-template-dev.yml,3,5
src/components/manage-your-account/manage-your-account-controller.ts,3,5
deploy-sandpit.sh,3,5
ci/terraform/ecs-roles.tf,3,5
ci/terraform/redirect-lambda.tf,3,5
ci/terraform/shared.tf,4,4
src/middleware/subject-session-index-middleware.ts,3,5
src/middleware/overload-protection-middleware.ts,2,5
test/unit/utils/oidc.test.ts,2,5
src/components/check-your-phone/check-your-phone-routes.ts,2,5
src/components/change-email/change-email-routes.ts,3,4
src/components/change-phone-number/change-phone-number-routes.ts,3,4
src/components/check-your-email/check-your-email-routes.ts,3,4
src/components/logout/logout-routes.ts,3,4
src/components/resend-email-code/resend-email-code-routes.ts,3,4
src/components/common/show-password/macro.njk,2,5
src/middleware/auth-middleware.ts,3,4
test/unit/middleware/validate-state-middleware.test.ts,3,4
.husky/pre-commit,2,5
src/components/add-mfa-method-sms/index.njk,3,4
